popularity,is_collaboration,num_artists,track_name_length,release_year,release_month,release_day_of_week,is_explicit,artist_popularity,artist_followers
75,1,2,11,2025.0,9.0,4.0,1,85,14990942
75,0,1,14,2023.0,10.0,4.0,1,95,103251589
75,1,2,16,2022.0,11.0,4.0,1,95,103251589
75,1,2,27,2018.0,11.0,1.0,1,84,11708960
75,1,3,50,2023.0,7.0,4.0,1,90,41193212
75,0,1,16,2025.0,10.0,3.0,1,80,6617029
75,1,2,13,2005.0,8.0,1.0,1,89,31088986
75,0,1,18,2023.0,11.0,4.0,1,95,103251589
75,1,3,27,2019.0,12.0,4.0,1,62,1319380
75,1,2,3,2011.0,5.0,0.0,1,87,24492412
75,0,1,41,2011.0,11.0,1.0,1,95,103251589
75,0,1,16,2024.0,8.0,4.0,1,95,103251589
75,0,1,9,2021.0,9.0,4.0,1,95,103251589
75,1,2,9,2022.0,11.0,4.0,1,95,103251589
75,1,2,30,2025.0,8.0,4.0,1,85,10381399
75,1,4,57,0.0,0.0,0.0,1,82,17353539
75,1,2,26,2025.0,1.0,4.0,1,85,21687055
75,0,1,29,2015.0,7.0,4.0,1,89,22723977
75,1,2,10,2018.0,5.0,4.0,1,85,21687055
75,1,2,21,2022.0,1.0,3.0,1,85,10381399
75,1,2,36,2020.0,8.0,4.0,1,95,103251589
75,1,2,18,2023.0,10.0,4.0,1,95,103251589
75,0,1,13,2024.0,5.0,4.0,1,85,10381399
75,1,2,23,2025.0,10.0,3.0,1,80,6617029
75,1,2,27,2025.0,10.0,3.0,1,80,6617029
75,1,2,22,2025.0,7.0,0.0,1,87,24492412
75,1,2,30,2025.0,10.0,3.0,1,80,6617029
75,1,2,23,2017.0,4.0,4.0,1,89,44682383
75,1,2,11,2022.0,11.0,4.0,1,95,103251589
75,0,1,10,2025.0,10.0,3.0,1,80,6617029
75,0,1,7,2024.0,5.0,4.0,1,88,104677300
75,1,2,21,2013.0,4.0,0.0,1,87,24492412
75,1,2,26,2020.0,5.0,4.0,1,89,22723977
75,0,1,17,2018.0,5.0,4.0,1,86,15058026
74,1,3,9,2008.0,1.0,1.0,0,82,6020889
74,1,3,21,1999.0,11.0,1.0,1,78,15116155
74,0,1,8,2025.0,7.0,6.0,1,90,41193212
74,0,1,5,2025.0,7.0,6.0,1,90,41193212
74,0,1,16,2004.0,2.0,1.0,1,89,31088986
74,1,3,12,2018.0,5.0,4.0,1,85,21687055
74,1,2,31,2020.0,8.0,4.0,1,81,25971799
74,1,2,33,2018.0,5.0,4.0,1,86,15058026
74,0,1,3,2021.0,9.0,4.0,1,95,103251589
74,0,1,6,2015.0,2.0,3.0,1,95,103251589
74,1,2,26,2025.0,1.0,4.0,1,79,9701600
74,1,2,19,2025.0,2.0,4.0,1,83,10146489
74,0,1,15,2022.0,5.0,4.0,1,89,44682383
74,0,1,10,2020.0,5.0,4.0,1,95,103251589
74,0,1,7,2018.0,6.0,4.0,0,95,103251589
74,1,2,9,2007.0,9.0,1.0,1,89,31088986
74,1,3,8,2022.0,5.0,4.0,1,89,44682383
74,0,1,22,2019.0,5.0,4.0,1,87,24492412
74,1,5,7,2010.0,11.0,0.0,1,89,31088986
74,0,1,10,2014.0,12.0,1.0,1,82,27099455
74,1,2,15,2007.0,9.0,1.0,1,89,31088986
74,0,1,14,2011.0,11.0,1.0,1,95,103251589
74,1,2,34,2024.0,10.0,0.0,1,87,24492412
74,0,1,10,2025.0,10.0,3.0,1,80,6617029
74,0,1,12,2025.0,8.0,4.0,1,85,10381399
74,0,1,8,2024.0,4.0,1.0,1,89,44682383
74,1,3,15,2017.0,3.0,5.0,1,95,103251589
74,0,1,7,2018.0,8.0,4.0,1,90,41193212
74,1,3,34,2020.0,10.0,4.0,1,84,23853911
74,0,1,7,2013.0,11.0,1.0,1,88,104677300
74,1,3,43,2021.0,9.0,4.0,1,95,103251589
73,0,1,10,2018.0,8.0,4.0,1,90,41193212
73,1,2,9,2025.0,10.0,3.0,1,80,6617029
73,0,1,14,2025.0,9.0,4.0,1,81,25971799
73,0,1,14,2019.0,2.0,4.0,1,85,10381399
73,1,3,37,2021.0,9.0,4.0,1,95,103251589
73,1,2,4,2019.0,11.0,3.0,1,87,60496861
73,1,2,8,2024.0,1.0,4.0,1,84,23853911
73,0,1,11,2011.0,11.0,1.0,1,95,103251589
73,0,1,13,2018.0,4.0,4.0,1,85,14990942
73,1,3,62,1997.0,3.0,1.0,1,76,12787604
73,0,1,32,2018.0,10.0,4.0,1,85,21687055
73,1,2,20,2025.0,9.0,4.0,1,81,25971799
73,1,3,39,2013.0,6.0,1.0,1,82,27099455
73,0,1,21,1994.0,9.0,1.0,1,76,12787604
73,1,2,16,2025.0,1.0,4.0,1,79,9701600
73,0,1,11,2020.0,2.0,4.0,1,85,21687055
73,1,3,42,2019.0,12.0,4.0,1,84,12436593
73,0,1,14,2018.0,6.0,4.0,1,95,103251589
73,0,1,12,2016.0,5.0,4.0,1,82,19276073
73,0,1,22,2002.0,5.0,6.0,1,88,104677300
73,0,1,10,1999.0,2.0,1.0,1,88,104677300
73,1,2,45,2025.0,7.0,0.0,1,87,24492412
73,1,2,18,2021.0,1.0,4.0,1,90,41193212
73,0,1,9,2022.0,3.0,3.0,1,80,6617029
73,0,1,8,2007.0,9.0,1.0,1,89,31088986
73,1,2,9,2011.0,11.0,1.0,1,95,103251589
73,0,1,13,2005.0,3.0,3.0,1,83,18912162
73,1,3,24,2024.0,4.0,4.0,1,89,22723977
73,0,1,7,2024.0,8.0,5.0,1,95,103251589
73,1,3,43,2015.0,5.0,1.0,1,82,17353539
73,0,1,11,2018.0,12.0,3.0,1,85,14990942
73,1,3,37,2020.0,9.0,4.0,1,90,41193212
73,1,2,22,2023.0,7.0,4.0,1,90,41193212
73,1,2,8,2008.0,1.0,1.0,1,86,17967990
73,1,2,8,2016.0,5.0,4.0,1,95,103251589
73,0,1,7,2019.0,5.0,4.0,1,87,24492412
73,0,1,10,2025.0,7.0,0.0,1,87,24492412
73,0,1,3,2025.0,1.0,4.0,1,90,41193212
73,1,2,40,2019.0,6.0,5.0,1,95,103251589
73,0,1,3,2015.0,5.0,1.0,1,82,17353539
73,0,1,19,2019.0,5.0,4.0,1,87,24492412
72,0,1,21,2011.0,11.0,1.0,1,95,103251589
72,0,1,9,2016.0,5.0,4.0,1,95,103251589
72,0,1,10,2014.0,10.0,1.0,1,89,22723977
72,1,2,30,2020.0,5.0,4.0,1,95,103251589
72,0,1,11,2025.0,7.0,4.0,1,85,14990942
72,0,1,5,2025.0,9.0,4.0,1,81,25971799
72,1,3,5,2010.0,1.0,4.0,1,95,103251589
72,1,3,10,2024.0,3.0,4.0,1,89,22723977
72,0,1,15,2023.0,4.0,4.0,1,95,103251589
72,1,2,27,2021.0,12.0,4.0,0,77,9305894
72,0,1,10,2015.0,3.0,0.0,1,89,44682383
72,1,2,36,2023.0,10.0,4.0,1,95,103251589
72,0,1,5,2018.0,6.0,4.0,1,95,103251589
72,0,1,6,2022.0,12.0,3.0,1,79,9701600
72,1,2,21,2025.0,1.0,4.0,1,79,9701600
72,0,1,10,2003.0,2.0,3.0,1,83,18912162
72,0,1,8,2013.0,6.0,1.0,1,89,31088986
72,0,1,12,2007.0,9.0,1.0,1,89,31088986
72,1,2,12,2023.0,6.0,6.0,1,80,6617029
72,0,1,17,2018.0,6.0,4.0,1,85,14990942
72,1,3,70,2021.0,6.0,4.0,1,87,24492412
72,1,3,39,2018.0,10.0,4.0,1,85,21687055
72,1,2,31,2025.0,6.0,3.0,1,79,9701600
72,0,1,13,2016.0,5.0,4.0,1,95,103251589
72,0,1,3,2022.0,5.0,4.0,1,89,44682383
72,1,2,16,2025.0,7.0,6.0,1,90,41193212
72,0,1,34,2015.0,5.0,1.0,1,82,17353539
72,0,1,12,2017.0,7.0,3.0,1,84,23853911
72,1,2,9,2022.0,5.0,4.0,0,89,31088986
72,1,3,23,2025.0,9.0,4.0,1,83,10146489
72,1,2,21,2020.0,2.0,4.0,1,85,21687055
72,1,2,21,2024.0,11.0,4.0,1,89,44682383
72,1,3,9,2004.0,2.0,1.0,1,65,1238272
72,1,2,22,2016.0,5.0,4.0,1,95,103251589
72,1,2,33,2025.0,3.0,4.0,1,86,15058026
72,0,1,11,2024.0,10.0,0.0,1,87,24492412
72,0,1,17,2016.0,8.0,2.0,1,82,19276073
72,0,1,6,2016.0,3.0,4.0,1,84,12436593
72,1,2,28,2011.0,11.0,1.0,1,95,103251589
72,0,1,15,2020.0,5.0,4.0,1,89,22723977
72,1,2,15,2017.0,4.0,4.0,1,86,15058026
72,0,1,12,2018.0,4.0,4.0,1,81,25971799
72,1,3,37,2023.0,7.0,4.0,1,90,41193212
71,0,1,11,2024.0,11.0,4.0,1,89,44682383
71,1,3,21,2025.0,5.0,4.0,1,76,11246483
71,0,1,8,2002.0,5.0,6.0,1,88,104677300
71,0,1,24,2014.0,12.0,4.0,1,84,34311895
71,1,2,48,1996.0,2.0,1.0,1,78,22592720
71,1,3,10,2024.0,8.0,5.0,1,69,1044048
71,0,1,9,2005.0,1.0,5.0,1,82,6020889
71,1,3,13,2025.0,7.0,6.0,1,90,41193212
71,1,2,31,2025.0,9.0,4.0,1,81,25971799
71,0,1,18,2025.0,8.0,4.0,1,85,10381399
71,1,2,35,2017.0,8.0,4.0,1,82,19276073
71,0,1,6,2018.0,5.0,4.0,1,86,15058026
71,1,2,23,2024.0,10.0,0.0,1,87,24492412
71,0,1,8,2015.0,9.0,4.0,1,90,41193212
71,1,2,32,2018.0,11.0,1.0,1,84,11708960
71,1,2,9,2011.0,11.0,1.0,1,95,103251589
71,0,1,11,2022.0,5.0,4.0,1,89,44682383
71,1,3,50,2024.0,10.0,0.0,1,87,24492412
71,0,1,12,2021.0,9.0,4.0,1,95,103251589
71,1,2,27,0.0,0.0,0.0,1,95,103251589
71,0,1,18,1994.0,4.0,1.0,1,72,4296406
71,0,1,6,2025.0,9.0,4.0,1,81,25971799
71,1,2,16,2024.0,7.0,4.0,1,88,104677300
71,0,1,12,2019.0,10.0,4.0,1,85,14990942
71,1,3,4,2024.0,2.0,4.0,1,69,1044048
71,0,1,13,2025.0,9.0,4.0,1,81,25971799
71,0,1,10,2012.0,1.0,6.0,1,84,34311895
71,1,3,60,2021.0,6.0,4.0,1,87,24492412
71,0,1,17,2019.0,3.0,4.0,1,80,6617029
71,0,1,14,2013.0,6.0,1.0,1,89,31088986
71,1,2,24,2017.0,12.0,4.0,1,88,104677300
